Name,Company,Business address,Suburb,State,Postcode,Region,Phone,Link,Provider number,Latitude,Longitude
Actevate - Wollongong,Actevate,"Unit 19, 21 Princes Highway",Fairy Meadow,NSW,2519,Illawarra Shoalhaven,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1015,,,
Active Occupational Health Services,Active Occupational Health Services,"Suite 1, Level 13 66 Goulburn Street",Sydney,NSW,2000,Sydney Central,02 9821 3321,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=305,,,
Actual Rehab Pty Ltd,Actual Rehab Pty Ltd,Po Box 3223,Umina Beach,NSW,2257,Central Coast,0487 136 306,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=978,,,
Acumen Health - Coffs Harbour,Acumen Health,"Suite 2, Level 2 43 Gordon Street",Coffs Harbour,NSW,2450,Mid North Coast,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=824,,,
Acumen Health - Liverpool,Acumen Health,"The Reilly Centre Suite 6D, 389-393 Hume Highway",Liverpool,NSW,2170,Sydney West,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=823,,,
Acumen Health - Parramatta,Acumen Health,Suite 30 30 Cowper Street,Parramatta,NSW,2150,Sydney West,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=820,,,
Acumen Health - South Melbourne Vic,Acumen Health,"Level 4, Building E 100 Dorcas Street",South Melbourne,VIC,3205,Victoria,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=822,,,
"Acumen Health - Spring Hill, Qld",Acumen Health,"Suite 204, Level 2 67 Astor Terrace",Spring Hill,QLD,4000,Queensland,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=821,,,
Acumen Health - Belconnen Act,Acumen Health,"Level 1, Suite 1.02B 54 Marcus Clarke Street",Canberra,ACT,2601,Act,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=762,,,
Acumen Health - Gosford,Acumen Health,Level 3 107 Mann Street,Gosford,NSW,2250,Central Coast,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=859,,,
Acumen Health - Kotara,Acumen Health,Unit 2A 70 Northcott Drive,Kotara,NSW,2289,Central Coast,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=505,,,
Acumen Health - Lismore,Acumen Health,"Suite 2, 36-38 Conway Street",Lismore,NSW,2480,Northern Rivers,02 8746 3499,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=763,,,
Acumen Health - North Sydney,Acumen Health,Level 13 201 Miller Street,North Sydney,NSW,2060,"Sydney Central, Sydney North",1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=657,,,
Acumen Health - Port Macquarie,Acumen Health,17 Hollingworth Street,Port Macquarie,NSW,2444,Mid North Coast,1300 436 432,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1043,,,
Acumen Health - Tweed Heads,Acumen Health,Shops 11 & 12 2-8 Blundell Boulevard,Tweed Heads,NSW,2485,Far North Coast,1300 436 432,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1044,,,
Acumen Health - Wollongong,Acumen Health,"Level 4, Suite 7 43 Burelli Street",Wollongong,NSW,2500,Illawarra Shoalhaven,1300 622,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=764,,,
Advanced Personnel Management - Albury,Advanced Personnel Management,"Suite 5A, 620 Macaulay Street",Albury,NSW,2640,Riverina,02 6021 0811,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=570,,,
Advanced Personnel Management - Canberra,Advanced Personnel Management,"Level 1, 39 London Circuit",Canberra,ACT,2601,Act,02 6262 7766,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=571,,,
Advanced Personnel Management - Coffs Harbour,Advanced Personnel Management,"Suite 101, Amp Centre 24 Gordon Street",Coffs Harbour,NSW,2450,Mid North Coast,02 6651 9044,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=572,,,
Advanced Personnel Management - Dee Why,Advanced Personnel Management,"Unit 3B, 32 Fisher Road",Dee Why,NSW,2099,Sydney North,1300 967 522,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=893,,,
Advanced Personnel Management - Lismore,Advanced Personnel Management,"Suite 8, Level 1, Conway Plaza 17 Conway Street",Lismore,NSW,2480,Far North Coast,02 6622 7263,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=573,,,
Advanced Personnel Management - Liverpool,Advanced Personnel Management,Suites 2 And 3 290 Macquarie Street,Liverpool,NSW,2170,Sydney West,1300 967 522,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=894,,,
Advanced Personnel Management - Maitland,Advanced Personnel Management,"Unit 5, 555 High Street",Maitland,NSW,2320,Hunter,02 4933 1091,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=576,,,
Advanced Personnel Management - Newcastle,Advanced Personnel Management,Unit 8B 235A Darby Street,Cooks Hill,NSW,2300,Hunter,02 4927 0244,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=578,,,
Advanced Personnel Management - Parramatta,Advanced Personnel Management,"Suite 4, Ground Floor, 1-3 Fitzwilliam Street",Parramatta,NSW,2150,Sydney West,1300 967 522,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=580,,,
Advanced Personnel Management - Sydney,Advanced Personnel Management,"Suite 2, Level 2 56 Clarence Street",Sydney,NSW,2000,Sydney Central,02 8296 5700,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=408,,,
Advanced Personnel Management - Tweed Heads,Advanced Personnel Management,2-8 Blundell Boulevard,Tweed Heads,NSW,2485,Far North Coast,1300 967 522,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=979,,,
Advanced Personnel Management - Wollongong,Advanced Personnel Management,"Suite 1, Level 3, Nrma Building 221-229 Crown Street",Wollongong,NSW,2500,Illawarra Shoalhaven,02 4225 7044,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=582,,,
Advanced Rehabilitation Management Service,Advanced Rehabilitation Management Service,20 Noorebar Avenue,Griffith,NSW,2680,Riverina,02 6964 8995,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=413,,,
Align Work Health,Align Work Health,549 David Street,Albury,NSW,2640,Riverina,02 6023 4644,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=451,,,
Ascent Rehabilitation Pty Ltd,Ascent Rehabilitation Pty Ltd,"Level 1, Suite 5, Ethos House 28 Ainslie Place",Canberra,ACT,2600,Act,02 6156 4109,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1032,,,
At Work Occupational Health & Safety,At Work Occupational Health & Safety,31 Lemongrove Road,Penrith,NSW,2750,Nepean Blue Mountains,02 4721 5098,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=409,,,
Atlas Rehab,Atlas Rehab,Level 2 215-219 George Street,Liverpool,NSW,2170,Sydney West,1300 667 544,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=755,,,
Ausrehab - Alexandria,Ausrehab,Suite 226 90-96 Bourke Road,Alexandria,NSW,2015,Sydney,Ph: 1300 391 947 / Fax: 02 7201 5019 / Email: office@ausrehab.com / https://www.ausrehab.com,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=977,,,
Ausrehab - Blacktown,Ausrehab,"Level 1, 8 Patrick Street",Blacktown,NSW,2148,Sydney West,Ph: 1300 391 947 / Fax: 02 7201 5019 / Email: office@ausrehab.com / https://www.ausrehab.com,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=981,,,
Ausrehab - Hurstville,Ausrehab,"Suite 201, Level 2, 8 Woodville Street",Hurstville,NSW,2220,Sydney South,Ph: 1300 391 947 / Fax: 02 7201 5019 / Email: office@ausrehab.com / https://www.ausrehab.com,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=982,,,
Axis Injury Management - Charlestown,Axis Injury Management,Level 1 20 Smith Street,Charlestown,NSW,2290,Central Coast & Hunter,02 4927 0577,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=456,,,
Back2work Solutions,Back2work Solutions,"Suite 1.02, Level 1 20 Clarke Street",Crows Nest,NSW,2065,Sydney North,0431 092 499,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=989,,,
Balance Rehab Pty Ltd - Blacktown,Balance Rehab Pty Ltd,"Level 1, 8 Patrick Street",Blacktown,NSW,2200,Sydney West,0417 475 700,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=267,,,
Balance Rehab Pty Ltd - Chullora,Balance Rehab Pty Ltd,7/4 Brunker Road,Chullora,NSW,2190,Sydney West,0417 475 700,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=910,,,
Benchmark Rehab - Macquarie Park,Benchmark Rehab,"Suite 208, 32 Delhi Road",Macquarie Park,NSW,2113,Sydney,0459 042 141,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=980,,,
Beneco,Beneco,"Level 5, 1F Homebush Bay Drive",Rhodes,NSW,2138,Sydney Central,1300 023 632,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=515,,,
Better Recovery Group,Better Recovery Group,"Shop 1G, 241 Castlereagh Street",Sydney,NSW,2000,Sydney Central,02 8313 7954,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=984,,,
Born Fit - Fairfield,Born Fit,1/17 Kenyon Street,Fairfield,NSW,2165,Sydney West,0410 699 081,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1035,,,
Born Fit - Miranda,Born Fit,"Level 4, Suite 210, 29 Kiora Road",Miranda,NSW,2228,Sydney South,0410 699 081,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1034,,,
Career Management Services - Martin Place,Career Management Services,52 Martin Place,Sydney,NSW,2000,Sydney Central,1300 588 088,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=960,,,
Career Management Services - Newcastle,Career Management Services,61-63 Parry Street,Newcastle West,NSW,2302,Hunter,1300 588 088,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=961,,,
Career Management Services - Wynyard,Career Management Services,33 George Street Wynyard,Sydney,NSW,2000,Sydney Central,1300 588 088,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=959,,,
Carfi,Carfi,Suite 401 93 Pacific Highway,North Sydney,NSW,2060,Sydney North,1300 737 403,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=732,,,
Changing Ways Consulting,Changing Ways Consulting,284 Church Street,Parramatta,NSW,2150,Sydney West,1300 652 920,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=990,,,
Corporeal Health - Sydney,Corporeal Health,"Level 24, 300 Barangaroo Avenue",Sydney,NSW,2000,Sydney Central,08 9622 5940,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1040,,,
Cs Health - Gunnedah,Cs Health,Cnr Reservoir Street And Anzac Parade,Gunnedah,NSW,2380,North Eastern Nsw,1800 274 633,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=996,,,
Cs Health - Lithgow,Cs Health,3 Proto Avenue,Lithgow,NSW,2790,Nepean Blue Mountains,02 6350 1050,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=561,,,
Cs Health - Mudgee,Cs Health,18 Sydney Road,Mudgee,NSW,2850,Western Nsw,02 6370 6100,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=731,,,
Cs Health - Singleton,Cs Health,1 Civic Avenue,Singleton,NSW,2330,Hunter,02 6571 9900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=17,,,
Cs Health - Speers Point,Cs Health,143 Main Road,Speers Point,NSW,2284,Hunter,02 4948 3100,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=16,,,
Cs Health - Woonona,Cs Health,558-580 Princes Highway,Woonona,NSW,2517,Illawarra Shoalhaven,02 4286 5400,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=560,,,
Direct Solutions Rehabilitation & Occupational Services,Direct Solutions Rehabilitation & Occupational Services,5 Stockton Avenue,Moorebank,NSW,2170,Sydney South West,1300 024 380,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=491,,,
Dynamic Health Partners,Dynamic Health Partners,5 Jacana Close,East Maitland,NSW,2323,Hunter,0423 099 607,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=895,,,
Ergosmart Consulting,Ergosmart Consulting,"Level 1, 18 National Circuit",Barton,ACT,2600,"Act, Southern Highlands, Sydney",1300 522 090,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=526,,,
Expert Rehab,Expert Rehab,Level 1/244 Macquarie Street,Liverpool,NSW,2170,Sydney West,0468 722 112,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1049,,,
Fastrack Health - Brookvale,Fastrack Health,6 Elizabeth Place,Brookvale,NSW,2100,Sydney North,0413 515 119,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=768,,,
Fastrack Health - Campbelltown,Fastrack Health,"Suite 16A, 42 Parkside Crescent",Campbelltown,NSW,2560,Sydney South West,0413 515 119,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=769,,,
Future Fit Injury Management,Future Fit Injury Management,"Suite 3, 34 Albert Street",North Parramatta,NSW,2151,Sydney West,1800 573 144,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=708,,,
Greenlight Hc - Hamilton,Greenlight Hc,"Suite 2, 73A Elizabeth Street",Tighes Hill,NSW,2297,Hunter,1300 312 049,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=666,,,
Greenlight Hc - North Ryde,Greenlight Hc,Level 5 7 Eden Park Drive,Macquarie Park,NSW,2113,Sydney North,02 9888 3358,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=707,,,
Greenlight Hc - Parramatta,Greenlight Hc,"Suite 303, Level 3, 69 Phillip Street",Parramatta,NSW,2150,Sydney West,1300 312 049,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=758,,,
Head2work,Head2work,Unit 9 29 Governor Macquarie Drive,Chipping Norton,NSW,2170,Sydney South West,02 9602 4922,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=392,,,
"Health & Wellness Rehab - Phillip, Act",Health & Wellness Rehab,"Suite 3, 13 Napier Close",Deakin,ACT,2600,Act,0401 858 329,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1038,,,
Health Ability,Health Ability,92A Longueville Road,Lane Cove,NSW,2066,Sydney North,02 9098 5500,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=777,,,
Hoys Work Health,Hoys Work Health,32 First Avenue,Sawtell,NSW,2452,"Far North Coast, Mid North Coast, New England, North Coast, Northern Rivers",02 6658 3878,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=277,,,
Imac Injury Management And Assessment Centre,Imac Injury Management And Assessment Centre,Suite 3 16 Sorrell Street,Parramatta,NSW,2150,Sydney West,02 9869 7122,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=362,,,
Inmotion Rehab - Narellan,Inmotion Rehab,3/38 Exchange Parade,Narellan,NSW,2567,South Coast Nsw,1300 466 684,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=739,,,
Inmotion Rehab - Wollongong,Inmotion Rehab,24 Atchison Street,Wollongong,NSW,2500,Illawarra Shoalhaven,02 4243 7820,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=943,,,
Interact Injury Management - Albury/Wodonga,Interact Injury Management,460 Swift Street,Albury,NSW,2640,Riverina,02 6061 0210,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=837,,,
Interact Injury Management - Belconnen Act,Interact Injury Management,Level 2 40 Cameron Avenue,Belconnen,ACT,2617,Act,02 6110 1400,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=760,,,
Interact Injury Management - Coffs Harbour,Interact Injury Management,"Suite 2, Level 2 43 Gordon Street",Coffs Harbour,NSW,2450,Mid North Coast,02 6600 2700,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=542,,,
Interact Injury Management - Dubbo,Interact Injury Management,Suite 1 64-70 Wingewarra Street,Dubbo,NSW,2830,Central West,02 6885 2139,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=417,,,
Interact Injury Management - Lismore,Interact Injury Management,Suite 2 36/38 Conway Street,Lismore,NSW,2480,Northern Rivers,02 6616 2000,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=450,,,
Interact Injury Management - Liverpool,Interact Injury Management,"Suite 2, Ground Floor 21 Pirie Street",Liverpool,NSW,2170,Sydney West,02 9093 4400,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=669,,,
Interact Injury Management - Newcastle,Interact Injury Management,"Suite 2, Level 3 45 Watt Street",Newcastle,NSW,2300,Hunter,02 4911 9900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=701,,,
Interact Injury Management - North Sydney,Interact Injury Management,Level 13 201 Miller Street,North Sydney,NSW,2060,Sydney North,02 9093 4400,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=664,,,
Interact Injury Management - Orange,Interact Injury Management,Suite 2 65 Hill Street,Orange,NSW,2800,Central West,02 6616 2000,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=264,,,
Interact Injury Management - Port Macquarie,Interact Injury Management,17 Hollingworth Street,Port Macquarie,NSW,2444,Mid North Coast,02 6500 9000,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=323,,,
Interact Injury Management - Tamworth,Interact Injury Management,"Shop 1, 511 Peel Street",Tamworth,NSW,2340,North West Slopes & Plains,02 6700 1200,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=458,,,
Interact Injury Management - Tweed Heads,Interact Injury Management,5/1 Sands Street,Tweed Heads,NSW,2485,Northern Rivers,02 6616 2000,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=640,,,
Interact Injury Management - Wollongong,Interact Injury Management,"Level 1, 1 Burelli Street",Wollongong,NSW,2500,Illawarra Shoalhaven,1300 618 868,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=776,,,
Interactive Health Solutions,Interactive Health Solutions,8 Old Sydney Road,Seaforth,NSW,2092,Sydney North,02 8084 0503,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=743,,,
Interstate Providers,Interstate Providers,For Providers To Use When Using Out Of State Services,,,,,,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=518,,,
Ioh Health - Ingleburn,Ioh Health,Suite 2/34 Carlisle Street,Ingleburn,NSW,2565,Sydney South West,02 4620 7244,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=924,,,
Ioh Health - Parramatta,Ioh Health,28 Ross Street,Parramatta,NSW,2150,Sydney West,02 9890 3655,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=304,,,
Ioh Health - Penrith,Ioh Health,"Level 1, 396 High Street",Penrith,NSW,2750,"Nepean, Blue Mountains",02 9890 3655,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=942,,,
Ioh Health - South Coast,Ioh Health,107 Scenic Drive,Nowra,NSW,2541,South Coast Nsw,02 4210 7222,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=303,,,
Ioh Health - Southern Highlands,Ioh Health,5/10 Davy Street,Mittagong,NSW,2575,Southern Highlands,02 4861 7641,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=925,,,
Ioh Health - Wollongong,Ioh Health,32 Swan Street,Wollongong,NSW,2500,Illawarra Shoalhaven,02 4210 7222,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=27,,,
Ipar Rehabilitation - Albury,Ipar Rehabilitation,556 David Street,Albury,NSW,2640,Riverina,03 8648 0900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=704,,,
Ipar Rehabilitation - Ballina,Ipar Rehabilitation,"Suite 8, 31 Cherry Street",Ballina,NSW,2478,Far North Coast,02 6627 2666,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=765,,,
Ipar Rehabilitation - Blacktown,Ipar Rehabilitation,45-51 Main Street,Blacktown,NSW,2148,Sydney West,02 9689 0900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=884,,,
Ipar Rehabilitation - Brisbane,Ipar Rehabilitation,"Level 1, 10 Eagle Street",Brisbane,QLD,4000,Queensland,07 3253 5000,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=752,,,
Ipar Rehabilitation - Brookvale,Ipar Rehabilitation,Suite 148 117 Old Pittwater Road,Brookvale,NSW,2100,Sydney North,02 8272 2222,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=886,,,
Ipar Rehabilitation - Campbelltown,Ipar Rehabilitation,108 Queen Street,Campbelltown,NSW,2560,Sydney South West,02 9689 0900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=885,,,
Ipar Rehabilitation - Canberra,Ipar Rehabilitation,4/1 Phipps Close,Deakin,ACT,2600,Act,02 6287 0700,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=756,,,
Ipar Rehabilitation - Central Coast,Ipar Rehabilitation,"Suite 3, 4 Bounty Close",Tuggerah,NSW,2259,Central Coast,02 4355 4367,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=750,,,
Ipar Rehabilitation - Coffs Harbour,Ipar Rehabilitation,201-203/24 Moonee Street,Coffs Harbour,NSW,2450,Mid North Coast,02 6691 2600,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=751,,,
Ipar Rehabilitation - Goulburn,Ipar Rehabilitation,3/56-63 Clifford Street,Goulburn,NSW,2580,Southern Highlands,02 6287 0700,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=887,,,
Ipar Rehabilitation - Liverpool,Ipar Rehabilitation,"Level 8, 35 Scott Street",Liverpool,NSW,2170,Sydney West,02 8272 2222,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=826,,,
Ipar Rehabilitation - Mildura,Ipar Rehabilitation,272 Eleventh Street,Mildura,VIC,3500,Victoria,03 5022 8091,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=705,,,
Ipar Rehabilitation - Miranda,Ipar Rehabilitation,"Suite 124, Level 1 29 Kiora Road",Miranda,NSW,2228,Sydney South,02 9689 0900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=918,,,
Ipar Rehabilitation - Newcastle,Ipar Rehabilitation,"Otp House, Level 2, 14 Bradford Close",Kotara,NSW,2289,Hunter,02 4903 3200,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=682,,,
Ipar Rehabilitation - Nowra,Ipar Rehabilitation,"Shop 3, Ground Floor 24 Berry Street",Nowra,NSW,2541,Illawarra Shoalhaven,02 4221 0600,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=888,,,
Ipar Rehabilitation - Orange,Ipar Rehabilitation,"Suite 3, Level 1, 21-29 William Street",Orange,NSW,2800,Central West,02 9689 0900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=854,,,
Ipar Rehabilitation - Parramatta,Ipar Rehabilitation,"Level 1, 107 Phillip Street",Parramatta,NSW,2150,Sydney West,02 9689 0900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=674,,,
Ipar Rehabilitation - Penrith,Ipar Rehabilitation,"Suite 2.04B, 38 Somerset Street",Kingswood,NSW,2747,"Nepean, Blue Mountains",02 4731 5009,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=283,,,
Ipar Rehabilitation - Port Macquarie,Ipar Rehabilitation,Shop 4/136 William Street,Port Macquarie,NSW,2444,Mid North Coast,02 6651 5111,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=855,,,
Ipar Rehabilitation - Sydney,Ipar Rehabilitation,Level 16 1 Market Street,Sydney,NSW,2000,Sydney Central,02 8272 2200,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=483,,,
Ipar Rehabilitation - Tamworth,Ipar Rehabilitation,2/14-16 Bourke Street,Tamworth,NSW,2340,North West Slopes & Plains,02 6766 1444,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=678,,,
Ipar Rehabilitation - Wagga Wagga,Ipar Rehabilitation,9/152 Fitzmaurice Street,Wagga Wagga,NSW,2650,Riverina,03 8648 0900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=856,,,
Ipar Rehabilitation - Wollongong,Ipar Rehabilitation,"Level 1, 1 Burelli Street",Wollongong,NSW,2500,Illawarra Shoalhaven,02 9869 0900,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=736,,,
